의원,정당,섹터,종목,관할위원회,거래수,순매수K,기업로비M,PAC후원,score
Ron L Wyden,D,헬스케어,LLY,Senate Committee on Finance,2,0,0.0,,2
Ron L Wyden,D,에너지,XOM,Senate Committee on Energy and Natural Res,2,0,0.0,,2
Sheldon Whitehouse,D,헬스케어,AMGN,Senate Committee on Finance,2,-16,0.0,,2
Sheldon Whitehouse,D,헬스케어,CVS,Senate Committee on Finance,2,16,0.0,,2
Sheldon Whitehouse,D,헬스케어,DHR,Senate Committee on Finance,2,-41,0.0,,2
Sheldon Whitehouse,D,커뮤니케이션,DIS,Senate Committee on the Judiciary,2,-16,0.0,,2
Sheldon Whitehouse,D,기술/반도체,IBM,Senate Committee on the Judiciary,2,-16,0.0,,2
Sheldon Whitehouse,D,기술/반도체,LRCX,Senate Committee on the Judiciary,2,-65,0.0,,2
Sheldon Whitehouse,D,헬스케어,NVS,Senate Committee on Finance,2,24,0.0,,2
Sheldon Whitehouse,D,기술/반도체,SNOW,Senate Committee on the Judiciary,2,0,0.0,,2
Sheldon Whitehouse,D,헬스케어,UNH,Senate Committee on Finance,2,-65,0.0,,2
Shelley M Capito,R,기술/반도체,CSCO,"Senate Committee on Commerce, Science, and",2,0,0.0,,2
Shelley M Capito,R,에너지,ENB,Senate Committee on Environment and Public,2,-16,0.0,,2
Shelley M Capito,R,산업재,ITW,"Senate Committee on Commerce, Science, and",2,-16,0.0,,2
Shelley M Capito,R,에너지,PSX,Senate Committee on Environment and Public,2,0,0.0,,2
Susie Lee,R,소재,ECL,House Committee on Natural Resources,2,0,0.0,,2
Susie Lee,R,소재,SHW,House Committee on Natural Resources,2,0,0.0,,2
Thomas H Tuberville,R,헬스케어,ALGN,"Senate Committee on Health, Education, Lab",2,0,0.0,,2
Thomas H Tuberville,R,헬스케어,DGX,"Senate Committee on Health, Education, Lab",2,-24,0.0,,2
Thomas H Tuberville,R,산업재,GNRC,Senate Committee on Armed Services,2,0,0.0,,2
Thomas H Tuberville,R,헬스케어,MDT,"Senate Committee on Health, Education, Lab",2,-65,0.0,,2
Thomas H Tuberville,R,산업재,NOC,Senate Committee on Armed Services,2,0,0.0,,2
Thomas H Tuberville,R,산업재,SBLK,Senate Committee on Armed Services,2,0,0.0,,2
Thomas H Tuberville,R,산업재,UNP,Senate Committee on Armed Services,2,-41,0.0,,2
Thomas H Tuberville,R,헬스케어,VEEV,"Senate Committee on Health, Education, Lab",2,0,0.0,,2
Thomas H Tuberville,R,헬스케어,VRTX,"Senate Committee on Health, Education, Lab",2,0,0.0,,2
Thomas H Tuberville,R,헬스케어,VTRS,"Senate Committee on Health, Education, Lab",2,-16,0.0,,2
Thomas H Tuberville,R,헬스케어,WAT,"Senate Committee on Health, Education, Lab",2,0,0.0,,2
Thomas H Tuberville,R,헬스케어,WST,"Senate Committee on Health, Education, Lab",2,0,0.0,,2
Thomas H. Kean,R,기술/반도체,ADI,House Committee on Energy and Commerce,2,16,0.0,,2
Thomas H. Kean,R,기술/반도체,FIS,House Committee on Energy and Commerce,2,16,0.0,,2
Thomas H. Kean,R,소재,LIN,House Committee on Energy and Commerce,2,16,0.0,,2
Thomas H. Kean,R,커뮤니케이션,TTWO,House Committee on Energy and Commerce,2,0,0.0,,2
Thomas H. Kean,R,기술/반도체,TXN,House Committee on Energy and Commerce,2,16,0.0,,2
Thomas Suozzi,D,헬스케어,CRSP,House Committee on Ways and Means,2,0,0.0,,2
Thomas Suozzi,D,헬스케어,LLY,House Committee on Ways and Means,2,0,0.0,,2
Tina Smith,D,헬스케어,TCMD,Senate Committee on Finance,2,250,0.0,,2
Valerie Hoyle,D,에너지,COP,House Committee on Natural Resources,2,0,0.0,,2
Valerie Hoyle,D,산업재,CTAS,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,DE,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,EMR,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,ETN,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,FDX,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,GE,House Committee on Transportation and Infr,2,-16,0.0,,2
Valerie Hoyle,D,산업재,GEV,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,IR,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,JCI,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,소재,LIN,House Committee on Natural Resources,2,0,0.0,,2
Valerie Hoyle,D,산업재,LMT,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,NOC,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,소재,NTR,House Committee on Natural Resources,2,0,0.0,,2
Valerie Hoyle,D,산업재,PNR,House Committee on Transportation and Infr,2,-16,0.0,,2
Valerie Hoyle,D,산업재,PWR,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,RSG,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,에너지,SHEL,House Committee on Natural Resources,2,0,0.0,,2
Valerie Hoyle,D,산업재,SIEGY,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,TDG,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,소재,VMC,House Committee on Natural Resources,2,0,0.0,,2
Valerie Hoyle,D,산업재,VRSK,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,WAB,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,산업재,WCN,House Committee on Transportation and Infr,2,0,0.0,,2
Valerie Hoyle,D,에너지,XOM,House Committee on Natural Resources,2,0,0.0,,2
William R. Keating,D,산업재,CAT,House Committee on Armed Services,2,-41,0.0,,2
Zoe Lofgren,D,기술/반도체,ASML,House Committee on the Judiciary,2,0,0.0,,2
Zoe Lofgren,D,기술/반도체,PAYX,House Committee on the Judiciary,2,-16,0.0,,2
Zoe Lofgren,D,기술/반도체,ROP,House Committee on the Judiciary,2,0,0.0,,2
Adam Smith,D,헬스케어,CVS,House Committee on Ways and Means,1,-8,0.0,,1
Adam Smith,D,산업재,RSG,House Committee on Armed Services,1,-8,0.0,,1
Adam Smith,D,산업재,UPS,House Committee on Armed Services,1,-8,0.0,,1
"Angus S King, Jr.",D,에너지,COP,Senate Committee on Energy and Natural Res,1,-8,0.0,,1
"Angus S King, Jr.",D,산업재,MMM,Senate Committee on Armed Services,1,-8,0.0,,1
"Angus S King, Jr.",D,산업재,PWR,Senate Committee on Armed Services,1,8,0.0,,1
"Angus S King, Jr.",D,에너지,SLB,Senate Committee on Energy and Natural Res,1,-8,0.0,,1
"Angus S King, Jr.",D,산업재,VRT,Senate Committee on Armed Services,1,8,0.0,,1
Ashley Moody,R,기술/반도체,AMAT,Senate Committee on the Judiciary,1,175,0.0,,1
Ashley Moody,R,산업재,HWM,Senate Committee on Armed Services,1,75,0.0,,1
Ashley Moody,R,기술/반도체,MU,Senate Committee on the Judiciary,1,75,0.0,,1
Ashley Moody,R,기술/반도체,OKTA,Senate Committee on the Judiciary,1,-75,0.0,,1
August Lee Pfluger,R,커뮤니케이션,FWONK,House Committee on Energy and Commerce,1,0,0.0,,1
Bernie Moreno,R,금융,ETOR,"Senate Committee on Banking, Housing, and ",1,-175,0.0,,1
Blake Moore,D,커뮤니케이션,META,House Committee on the Judiciary,1,-8,0.0,,1
Bradley S. Schneider,D,헬스케어,DXCM,House Committee on Ways and Means,1,0,0.0,,1
Bradley S. Schneider,D,헬스케어,RMD,House Committee on Ways and Means,1,0,0.0,,1
Bradley S. Schneider,D,헬스케어,TMO,House Committee on Ways and Means,1,0,0.0,,1
Bruce Westerman,R,산업재,BA,House Committee on Transportation and Infr,1,8,0.0,,1
Bruce Westerman,R,에너지,BP,House Committee on Natural Resources,1,8,0.0,,1
Bruce Westerman,R,산업재,CSX,House Committee on Transportation and Infr,1,8,0.0,,1
Byron Donalds,R,금융,FDS,House Committee on Financial Services,1,-8,0.0,,1
Byron Donalds,R,금융,JPM,House Committee on Financial Services,1,-8,0.0,,1
Byron Donalds,R,금융,MSCI,House Committee on Financial Services,1,-8,0.0,,1
Carol Devine Miller,R,헬스케어,BMY,House Committee on Ways and Means,1,33,0.0,,1
Carol Devine Miller,R,헬스케어,GILD,House Committee on Ways and Means,1,8,0.0,,1
Carol Devine Miller,R,헬스케어,MCK,House Committee on Ways and Means,1,0,0.0,,1
Carol Devine Miller,R,헬스케어,VTRS,House Committee on Ways and Means,1,33,0.0,,1
Cleo Fields,D,금융,JPM,House Committee on Financial Services,1,33,0.0,,1
Cliff Bentz,R,헬스케어,AMGN,House Committee on Energy and Commerce,1,8,0.0,,1
Cliff Bentz,R,기술/반도체,INTC,House Committee on Energy and Commerce,1,-8,0.0,,1
Daniel Crenshaw,R,커뮤니케이션,GOOG,House Committee on Energy and Commerce,1,8,0.0,,1
Daniel Crenshaw,R,에너지,KMI,House Committee on Energy and Commerce,1,8,0.0,,1
Daniel Crenshaw,R,커뮤니케이션,META,House Committee on Energy and Commerce,1,8,0.0,,1
Daniel Goldman,D,기술/반도체,ACN,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,산업재,ALLE,House Committee on Homeland Security,1,-8,0.0,,1
Daniel Goldman,D,기술/반도체,ASML,House Committee on the Judiciary,1,0,0.0,,1
Daniel Goldman,D,커뮤니케이션,BATRK,House Committee on the Judiciary,1,0,0.0,,1
Daniel Goldman,D,산업재,BXBLY,House Committee on Homeland Security,1,-75,0.0,,1
Daniel Goldman,D,산업재,CTAS,House Committee on Homeland Security,1,-8,0.0,,1
Daniel Goldman,D,기술/반도체,CTSH,House Committee on the Judiciary,1,33,0.0,,1
Daniel Goldman,D,산업재,DAL,House Committee on Homeland Security,1,8,0.0,,1
Daniel Goldman,D,산업재,DE,House Committee on Homeland Security,1,-33,0.0,,1
Daniel Goldman,D,기술/반도체,EPAM,House Committee on the Judiciary,1,-75,0.0,,1
Daniel Goldman,D,커뮤니케이션,FWONK,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,기술/반도체,HPQ,House Committee on the Judiciary,1,33,0.0,,1
Daniel Goldman,D,산업재,HSQVY,House Committee on Homeland Security,1,-175,0.0,,1
Daniel Goldman,D,기술/반도체,IFNNY,House Committee on the Judiciary,1,0,0.0,,1
Daniel Goldman,D,산업재,JCI,House Committee on Homeland Security,1,0,0.0,,1
Daniel Goldman,D,기술/반도체,JKHY,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,커뮤니케이션,NTES,House Committee on the Judiciary,1,0,0.0,,1
Daniel Goldman,D,기술/반도체,NVDA,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,커뮤니케이션,PUBGY,House Committee on the Judiciary,1,-75,0.0,,1
Daniel Goldman,D,커뮤니케이션,RBLX,House Committee on the Judiciary,1,0,0.0,,1
Daniel Goldman,D,커뮤니케이션,ROKU,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,산업재,RTX,House Committee on Homeland Security,1,-8,0.0,,1
Daniel Goldman,D,산업재,SAFRY,House Committee on Homeland Security,1,-75,0.0,,1
Daniel Goldman,D,기술/반도체,SHLS,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,산업재,SIEGY,House Committee on Homeland Security,1,0,0.0,,1
Daniel Goldman,D,기술/반도체,SNOW,House Committee on the Judiciary,1,33,0.0,,1
Daniel Goldman,D,기술/반도체,SONY,House Committee on the Judiciary,1,0,0.0,,1
Daniel Goldman,D,기술/반도체,STX,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,커뮤니케이션,T,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,커뮤니케이션,TCEHY,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,커뮤니케이션,TMUS,House Committee on the Judiciary,1,-8,0.0,,1
Daniel Goldman,D,기술/반도체,TSM,House Committee on the Judiciary,1,0,0.0,,1
Daniel Goldman,D,산업재,TT,House Committee on Homeland Security,1,-175,0.0,,1
Daniel Goldman,D,커뮤니케이션,TTD,House Committee on the Judiciary,1,0,0.0,,1
Daniel Goldman,D,산업재,UNP,House Committee on Homeland Security,1,33,0.0,,1
Daniel Goldman,D,산업재,URI,House Committee on Homeland Security,1,-8,0.0,,1
Daniel Goldman,D,산업재,WM,House Committee on Homeland Security,1,-8,0.0,,1
Daniel Goldman,D,커뮤니케이션,Z,House Committee on the Judiciary,1,0,0.0,,1
Daniel Meuser,R,금융,CB,House Committee on Financial Services,1,-8,0.0,,1
Daniel S Sullivan,R,커뮤니케이션,DIS,"Senate Committee on Commerce, Science, and",1,8,0.0,,1
Daniel S Sullivan,R,기술/반도체,NVDA,"Senate Committee on Commerce, Science, and",1,8,0.0,,1
David Cheston Rouzer,R,기술/반도체,NVDA,"House Committee on Science, Space, and Tec",1,-8,0.0,,1
Debbie Dingell,D,소재,CTVA,House Committee on Natural Resources,1,33,0.0,,1
Debbie Dingell,D,소재,DD,House Committee on Natural Resources,1,0,0.0,,1
Debbie Dingell,D,에너지,ET,House Committee on Natural Resources,1,0,0.0,,1
Debbie Dingell,D,헬스케어,MDT,House Committee on Energy and Commerce,1,0,0.0,,1
Debbie Dingell,D,커뮤니케이션,META,House Committee on Energy and Commerce,1,0,0.0,,1
Debbie Dingell,D,헬스케어,WAT,House Committee on Energy and Commerce,1,0,0.0,,1
Deborah K. Ross,D,기술/반도체,AMAT,House Committee on the Judiciary,1,8,0.0,,1
Deborah K. Ross,D,기술/반도체,AMD,House Committee on the Judiciary,1,0,0.0,,1
Deborah K. Ross,D,기술/반도체,CRWD,House Committee on the Judiciary,1,0,0.0,,1
Debra S Fischer,R,산업재,CAT,Senate Committee on Armed Services,1,-75,0.0,,1
Debra S Fischer,R,산업재,LMT,Senate Committee on Armed Services,1,-75,0.0,,1
Donald Sternoff Beyer,D,헬스케어,RHHBY,House Committee on Ways and Means,1,-8,0.0,,1
Donald Sternoff Honorable Beyer,D,헬스케어,EDIT,House Committee on Ways and Means,1,8,0.0,,1
Donald Sternoff Honorable Beyer,D,헬스케어,REGN,House Committee on Ways and Means,1,-8,0.0,,1
Donald Sternoff Honorable Beyer,D,헬스케어,UNH,House Committee on Ways and Means,1,-8,0.0,,1
Dwight Evans,D,헬스케어,CVS,House Committee on Ways and Means,1,-8,0.0,,1
Dwight Evans,D,헬스케어,PFE,House Committee on Ways and Means,1,8,0.0,,1
Dwight Evans,D,헬스케어,RHHBY,House Committee on Ways and Means,1,8,0.0,,1
Dwight Evans,D,헬스케어,TMO,House Committee on Ways and Means,1,8,0.0,,1
Emily Randall,D,에너지,XOM,House Committee on Natural Resources,1,-8,0.0,,1
Gary C Peters,D,기술/반도체,IBM,"Senate Committee on Commerce, Science, and",1,8,0.0,,1
Gary C Peters,D,기술/반도체,INTC,"Senate Committee on Commerce, Science, and",1,-33,0.0,,1
Gary C Peters,D,산업재,OTIS,Senate Committee on Homeland Security and ,1,-8,0.0,,1
Gary C Peters,D,산업재,SWK,Senate Committee on Homeland Security and ,1,33,0.0,,1
Gary C Peters,D,커뮤니케이션,VZ,"Senate Committee on Commerce, Science, and",1,8,0.0,,1
Gary C Peters,D,커뮤니케이션,WBD,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
George Whitesides,D,기술/반도체,INTC,"House Committee on Science, Space, and Tec",1,0,0.0,,1
George Whitesides,D,산업재,LMT,House Committee on Armed Services,1,0,0.0,,1
George Whitesides,D,산업재,ROK,House Committee on Armed Services,1,0,0.0,,1
George Whitesides,D,산업재,RSG,House Committee on Armed Services,1,-175,0.0,,1
George Whitesides,D,산업재,RTX,House Committee on Armed Services,1,0,0.0,,1
George Whitesides,D,산업재,SPCE,House Committee on Armed Services,1,-8,0.0,,1
George Whitesides,D,기술/반도체,TXN,"House Committee on Science, Space, and Tec",1,0,0.0,,1
George Whitesides,D,산업재,UNP,House Committee on Armed Services,1,0,0.0,,1
Gilbert Cisneros,D,산업재,FDX,House Committee on Armed Services,1,8,0.0,,1
Gilbert Cisneros,D,산업재,HON,House Committee on Armed Services,1,8,0.0,,1
Gilbert Cisneros,D,산업재,OTIS,House Committee on Armed Services,1,-8,0.0,,1
Gilbert Cisneros,D,산업재,SWK,House Committee on Armed Services,1,8,0.0,,1
Gilbert Cisneros,D,산업재,UNP,House Committee on Armed Services,1,-8,0.0,,1
Greg Landsman,D,기술/반도체,ACN,House Committee on Energy and Commerce,1,-8,0.0,,1
Greg Landsman,D,헬스케어,BMY,House Committee on Energy and Commerce,1,-8,0.0,,1
Greg Landsman,D,헬스케어,DHR,House Committee on Energy and Commerce,1,-8,0.0,,1
Greg Landsman,D,커뮤니케이션,DIS,House Committee on Energy and Commerce,1,-33,0.0,,1
Greg Landsman,D,에너지,PSX,House Committee on Energy and Commerce,1,-8,0.0,,1
Greg Landsman,D,헬스케어,TMO,House Committee on Energy and Commerce,1,-8,0.0,,1
Greg Landsman,D,헬스케어,UNH,House Committee on Energy and Commerce,1,0,0.0,,1
Greg Landsman,D,헬스케어,ZTS,House Committee on Energy and Commerce,1,-8,0.0,,1
Greg Stanton,D,산업재,CAT,House Committee on Transportation and Infr,1,8,0.0,,1
Greg Stanton,D,산업재,DE,House Committee on Transportation and Infr,1,-8,0.0,,1
Greg Stanton,D,산업재,UPS,House Committee on Transportation and Infr,1,-8,0.0,,1
Jacklyn S Rosen,D,산업재,IR,Senate Committee on Armed Services,1,0,0.0,,1
Jacky Rosen,D,기술/반도체,DELL,"Senate Committee on Commerce, Science, and",1,0,0.0,,1
James French Hill,R,금융,BX,House Committee on Financial Services,1,-8,0.0,,1
James French Hill,R,금융,RF,House Committee on Financial Services,1,0,0.0,,1
James French Hill,R,금융,SCHW,House Committee on Financial Services,1,0,0.0,,1
James French Hill,R,금융,WFC,House Committee on Financial Services,1,0,0.0,,1
Jared Moskowitz,D,기술/반도체,TSM,House Committee on the Judiciary,1,8,0.0,,1
Jefferson Shreve,R,산업재,DE,House Committee on Transportation and Infr,1,0,0.0,,1
Jefferson Shreve,R,산업재,GEV,House Committee on Transportation and Infr,1,0,0.0,,1
Jefferson Shreve,R,산업재,HON,House Committee on Transportation and Infr,1,33,0.0,,1
Jefferson Shreve,R,산업재,MMM,House Committee on Transportation and Infr,1,0,0.0,,1
"Jerry Moran,",R,커뮤니케이션,META,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John B. Larson,D,헬스케어,ILMN,House Committee on Ways and Means,1,-8,0.0,,1
John B. Larson,D,헬스케어,IQV,House Committee on Ways and Means,1,-8,0.0,,1
John B. Larson,D,헬스케어,TMO,House Committee on Ways and Means,1,-8,0.0,,1
John B. Larson,D,헬스케어,ZTS,House Committee on Ways and Means,1,-8,0.0,,1
John Boozman,R,에너지,DVN,Senate Committee on Environment and Public,1,8,0.0,,1
John Boozman,R,소재,ECL,Senate Committee on Environment and Public,1,8,0.0,,1
John Boozman,R,에너지,VLO,Senate Committee on Environment and Public,1,-8,0.0,,1
John Boozman,R,에너지,XOM,Senate Committee on Environment and Public,1,8,0.0,,1
John Curtis,R,기술/반도체,AMAT,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Curtis,R,산업재,CAT,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Curtis,R,커뮤니케이션,CMCSA,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Curtis,R,산업재,CSX,"Senate Committee on Commerce, Science, and",1,8,0.0,,1
John Curtis,R,에너지,CVX,Senate Committee on Environment and Public,1,-8,0.0,,1
John Curtis,R,커뮤니케이션,DIS,"Senate Committee on Commerce, Science, and",1,0,0.0,,1
John Curtis,R,커뮤니케이션,GOOG,"Senate Committee on Commerce, Science, and",1,0,0.0,,1
John Curtis,R,기술/반도체,KLAC,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Curtis,R,기술/반도체,LRCX,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Curtis,R,커뮤니케이션,META,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Curtis,R,기술/반도체,NVDA,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Curtis,R,커뮤니케이션,TMUS,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Curtis,R,산업재,UNP,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John F Reed,D,산업재,HON,Senate Committee on Armed Services,1,-8,0.0,,1
John F Reed,D,산업재,ITW,Senate Committee on Armed Services,1,-8,0.0,,1
John Fetterman,D,기술/반도체,MU,"Senate Committee on Commerce, Science, and",1,8,0.0,,1
John Fetterman,D,커뮤니케이션,T,"Senate Committee on Commerce, Science, and",1,-8,0.0,,1
John Hoeven,R,소재,CE,Senate Committee on Energy and Natural Res,1,75,0.0,,1
John Hoeven,R,에너지,CVX,Senate Committee on Energy and Natural Res,1,75,0.0,,1
John Hoeven,R,소재,LYB,Senate Committee on Energy and Natural Res,1,75,0.0,,1
John Hoeven,R,에너지,MPC,Senate Committee on Energy and Natural Res,1,75,0.0,,1
John Hoeven,R,에너지,SLB,Senate Committee on Energy and Natural Res,1,75,0.0,,1
John W Hickenlooper,D,커뮤니케이션,CMCSA,"Senate Committee on Commerce, Science, and",1,-33,0.0,,1
John W Hickenlooper,D,에너지,CVX,Senate Committee on Energy and Natural Res,1,-175,0.0,,1
John W Hickenlooper,D,커뮤니케이션,DIS,"Senate Committee on Commerce, Science, and",1,-33,0.0,,1
John W Hickenlooper,D,산업재,ETN,"Senate Committee on Commerce, Science, and",1,75,0.0,,1
John W Hickenlooper,D,커뮤니케이션,GOOGL,"Senate Committee on Commerce, Science, and",1,-375,0.0,,1
John W Hickenlooper,D,기술/반도체,INTC,"Senate Committee on Commerce, Science, and",1,-175,0.0,,1
John W Hickenlooper,D,기술/반도체,NVDA,"Senate Committee on Commerce, Science, and",1,-750,0.0,,1
John W Hickenlooper,D,기술/반도체,PANW,"Senate Committee on Commerce, Science, and",1,175,0.0,,1
John W Hickenlooper,D,기술/반도체,UBER,"Senate Committee on Commerce, Science, and",1,175,0.0,,1
John W Hickenlooper,D,커뮤니케이션,VZ,"Senate Committee on Commerce, Science, and",1,-175,0.0,,1
Josh Gottheimer,D,금융,CB,House Committee on Financial Services,1,8,0.0,,1
Josh Gottheimer,D,금융,MSCI,House Committee on Financial Services,1,-8,0.0,,1
Josh Gottheimer,D,금융,WFC,House Committee on Financial Services,1,-8,0.0,,1
Julie Johnson,D,산업재,FDX,House Committee on Homeland Security,1,-8,0.0,,1
Julie Johnson,D,산업재,GNRC,House Committee on Homeland Security,1,-8,0.0,,1
Julie Johnson,D,산업재,GWW,House Committee on Homeland Security,1,-8,0.0,,1
Julie Johnson,D,산업재,HWM,House Committee on Homeland Security,1,-8,0.0,,1
Julie Johnson,D,산업재,NSC,House Committee on Homeland Security,1,-8,0.0,,1
Julie Johnson,D,산업재,PNR,House Committee on Homeland Security,1,-8,0.0,,1
Julie Johnson,D,산업재,VRSK,House Committee on Homeland Security,1,-8,0.0,,1
Kevin Hern,R,헬스케어,CCLD,House Committee on Ways and Means,1,-75,0.0,,1
Kevin Hern,R,헬스케어,WAT,House Committee on Ways and Means,1,0,0.0,,1
Kim Dr Schrier,D,헬스케어,CVS,House Committee on Energy and Commerce,1,0,0.0,,1
Laurel Lee,R,커뮤니케이션,WBD,House Committee on the Judiciary,1,-8,0.0,,1
Lisa McClain,R,금융,PGR,House Committee on Financial Services,1,8,0.0,,1
Michael Patrick Guest,R,산업재,GD,House Committee on Homeland Security,1,8,0.0,,1
Mike Kelly,R,에너지,CVX,Senate Committee on Environment and Public,1,-8,0.0,,1
Mike Kelly,R,헬스케어,UNH,House Committee on Ways and Means,1,-8,0.0,,1
Mike Kelly,R,산업재,UNP,Senate Committee on Armed Services,1,0,0.0,,1
Richard Dean Dr McCormick,R,기술/반도체,ADI,"House Committee on Science, Space, and Tec",1,8,0.0,,1
Richard Dean Dr McCormick,R,기술/반도체,CSCO,"House Committee on Science, Space, and Tec",1,8,0.0,,1
Richard Dean Dr McCormick,R,산업재,EMR,House Committee on Armed Services,1,8,0.0,,1
Richard Dean Dr McCormick,R,산업재,ITW,House Committee on Armed Services,1,8,0.0,,1
Richard Dean Dr McCormick,R,산업재,LHX,House Committee on Armed Services,1,8,0.0,,1
Richard W. Allen,R,소재,ALB,House Committee on Energy and Commerce,1,-8,0.0,,1
Richard W. Allen,R,커뮤니케이션,DIS,House Committee on Energy and Commerce,1,-33,0.0,,1
Richard W. Allen,R,에너지,KMI,House Committee on Energy and Commerce,1,8,0.0,,1
Richard W. Allen,R,기술/반도체,PAYX,House Committee on Energy and Commerce,1,0,0.0,,1
Richard W. Allen,R,에너지,PSX,House Committee on Energy and Commerce,1,-33,0.0,,1
Richard W. Allen,R,기술/반도체,TSM,House Committee on Energy and Commerce,1,8,0.0,,1
Rick Larsen,D,산업재,BAH,House Committee on Transportation and Infr,1,-8,0.0,,1
Rick Larsen,D,산업재,CARR,House Committee on Transportation and Infr,1,8,0.0,,1
Rick Larsen,D,산업재,CTAS,House Committee on Transportation and Infr,1,8,0.0,,1
Rick Larsen,D,산업재,UPS,House Committee on Transportation and Infr,1,-8,0.0,,1
Rick Larsen,D,산업재,WAB,House Committee on Transportation and Infr,1,8,0.0,,1
Ritchie John Torres,D,금융,BAC,House Committee on Financial Services,1,-8,0.0,,1
Ritchie John Torres,D,금융,C,House Committee on Financial Services,1,-8,0.0,,1
Ritchie John Torres,D,금융,MET,House Committee on Financial Services,1,-8,0.0,,1
Ritchie John Torres,D,금융,USB,House Committee on Financial Services,1,-8,0.0,,1
Rob Bresnahan,R,산업재,BAH,House Committee on Transportation and Infr,1,-33,0.0,,1
Rob Bresnahan,R,산업재,CSX,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,DAL,House Committee on Transportation and Infr,1,8,0.0,,1
Rob Bresnahan,R,산업재,EME,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,ETN,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,FDX,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,FIX,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,GE,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,GNRC,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,GWW,House Committee on Transportation and Infr,1,8,0.0,,1
Rob Bresnahan,R,산업재,HON,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,MMM,House Committee on Transportation and Infr,1,0,0.0,,1
Rob Bresnahan,R,산업재,NOC,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,NSC,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,TDG,House Committee on Transportation and Infr,1,-8,0.0,,1
Rob Bresnahan,R,산업재,UNP,House Committee on Transportation and Infr,1,8,0.0,,1
Rob Bresnahan,R,산업재,WM,House Committee on Transportation and Infr,1,-8,0.0,,1
Robert J. Wittman,R,산업재,CAT,House Committee on Armed Services,1,-8,0.0,,1
Robert J. Wittman,R,에너지,EOG,House Committee on Natural Resources,1,-8,0.0,,1
Robert J. Wittman,R,산업재,HON,House Committee on Armed Services,1,-8,0.0,,1
Robert J. Wittman,R,에너지,KMI,House Committee on Natural Resources,1,-8,0.0,,1
Robert J. Wittman,R,산업재,NOC,House Committee on Armed Services,1,-8,0.0,,1
