ticker,year,sector,lobby,contracts,netbuy,members,cmt_trades,reg,fwd_exc
AMZN,2021,Consumer Cyclical,30.71,0.09711381,-0.36,11,5,0,-31.4
AMZN,2022,Consumer Cyclical,22.105,0.04651082,0.11,6,0,0,54.7
AMZN,2023,Consumer Cyclical,20.55,0.033626340000000005,0.08,10,2,0,19.5
AMZN,2024,Consumer Cyclical,21.13,0.22843027,0.05,11,3,0,-12.5
AMZN,2025,Consumer Cyclical,24.985,0.46012843,0.5,21,7,0,5.7
CHTR,2020,Communication Services,0.0,0.0,0.01,1,1,124,-30.2
CHTR,2021,Communication Services,0.0,0.0,-0.01,1,1,143,-29.8
CHTR,2022,Communication Services,0.0,0.0,0.01,1,0,95,-11.6
CHTR,2023,Communication Services,0.0,0.0,0.0,0,0,110,-36.7
CHTR,2024,Communication Services,0.0,0.0,0.0,0,0,129,-56.8
CHTR,2025,Communication Services,0.0,0.0,0.01,1,0,82,-40.1
MDB,2020,Technology,0.0,0.0,0.0,0,0,496,18.7
MDB,2021,Technology,0.0,0.0,0.0,0,0,477,-44.6
MDB,2022,Technology,0.0,0.0,-0.01,1,0,398,81.5
MDB,2023,Technology,0.0,0.0,-2.99,1,0,449,-67.9
MDB,2024,Technology,0.0,0.0,-0.01,1,0,475,62.6
MDB,2025,Technology,0.0,0.0,0.02,1,0,318,-31.9
RUM,2021,Communication Services,0.0,0.0,0.0,0,0,143,-26.9
RUM,2022,Communication Services,0.0,0.0,0.0,0,0,95,-50.7
RUM,2023,Communication Services,0.0,0.0,0.0,0,0,110,164.9
RUM,2024,Communication Services,0.0,0.0,0.0,0,0,129,-69.1
RUM,2025,Communication Services,0.01,0.0,-3.0,1,0,82,20.1
FWONK,2020,Communication Services,0.0,0.0,0.01,1,0,124,19.7
FWONK,2021,Communication Services,0.0,0.0,0.0,0,0,143,12.7
FWONK,2022,Communication Services,0.0,0.0,-0.08,1,6,95,-17.0
FWONK,2023,Communication Services,0.0,0.0,-0.46,2,4,110,21.9
FWONK,2024,Communication Services,0.0,0.0,-0.2,1,4,129,-11.4
FWONK,2025,Communication Services,0.0,0.0,0.03,2,5,82,-19.7
TSLA,2020,Consumer Cyclical,0.7,21.087647219999997,0.02,4,0,0,21.0
TSLA,2021,Consumer Cyclical,0.858,23.255325199999998,-0.01,4,2,0,-46.9
TSLA,2022,Consumer Cyclical,1.17,31.40036047,-1.12,7,2,0,75.5
TSLA,2023,Consumer Cyclical,1.9,30.62203045,0.09,7,3,0,37.6
TSLA,2024,Consumer Cyclical,1.26,23.49121465,-0.1,6,11,0,-6.4
TSLA,2025,Consumer Cyclical,2.175162,23.6040988,0.19,8,15,0,-14.9
CVX,2020,Energy,8.23,413.90984633,0.35,7,0,519,17.5
CVX,2021,Energy,6.89,253.30948143999998,-0.43,4,1,484,76.6
CVX,2022,Energy,8.85,411.67804298000004,-0.01,4,0,467,-39.8
CVX,2023,Energy,8.51,391.46342985,0.26,10,7,417,-23.6
CVX,2024,Energy,9.81,224.64378164000001,-0.18,5,2,440,-7.6
CVX,2025,Energy,11.39,342.26309159000004,0.09,8,6,370,18.3
UNH,2020,Healthcare,0.0,0.0,-0.01,3,0,170,16.5
UNH,2021,Healthcare,0.0,0.0,-0.01,3,1,193,25.1
UNH,2022,Healthcare,0.0,0.0,0.06,6,3,205,-25.4
UNH,2023,Healthcare,0.0,0.0,-0.89,13,8,168,-27.3
UNH,2024,Healthcare,0.0,0.0,0.03,9,4,243,-50.9
UNH,2025,Healthcare,0.0,0.0,-0.42,20,9,193,9.0
LBRDK,2020,Communication Services,0.0,0.0,0.0,0,0,124,-27.0
LBRDK,2021,Communication Services,0.0,0.0,-0.14,1,2,143,-34.5
LBRDK,2022,Communication Services,0.0,0.0,-0.08,1,5,95,-20.5
LBRDK,2023,Communication Services,0.0,0.0,-0.03,2,1,110,-32.1
LBRDK,2024,Communication Services,0.0,0.0,0.0,0,0,129,-48.3
LBRDK,2025,Communication Services,0.0,0.0,-0.38,2,4,82,-39.8
INTC,2020,Technology,2.89,1753.35321028,-0.01,9,2,496,-22.7
INTC,2021,Technology,0.5,1751.33562596,0.0,9,1,477,-28.5
INTC,2022,Technology,8.068,1592.9080461199999,0.28,9,2,398,68.4
INTC,2023,Technology,9.36,1575.1794231,-0.18,7,2,449,-84.5
INTC,2024,Technology,9.745,1567.16593535,0.07,4,1,475,66.3
INTC,2025,Technology,5.893,1187.2082796,0.05,7,2,318,215.1
