정권,여당,D포트,Dn,R포트,Rn,상원전체,SPY,여당포트,상원vsSPY,여당vsSPY,여당vs상대
오바마2기(D),D,,0,,0,,65.76156747364026,,,,
트럼프1기(R),R,148.9057918587047,47,13.941824424950312,65,16.174760311821046,82.55567863978656,13.941824424950312,-66.38091832796552,-68.61385421483625,-134.9639674337544
바이든(D),D,187.82111123660036,52,-56.52787128895045,47,2.9225235541170447,64.82218315947945,187.82111123660036,-61.89965960536241,122.99892807712091,244.3489825255508
트럼프2기(R),R,39.124244741288535,57,12.924594222210187,28,18.140189555449037,26.58663493167115,12.924594222210187,-8.446445376222112,-13.662040709460962,-26.199650519078347
