ticker,client,year,lobby,contracts
LBRDK,Liberty Broadband,2023,0.0,0.0
LBRDK,Liberty Broadband,2024,0.0,0.0
LBRDK,Liberty Broadband,2025,0.0,0.0
INTC,Intel,2020,0.0,0.0
INTC,Intel,2021,0.0,0.0
INTC,Intel,2022,0.0,0.0
INTC,Intel,2023,0.0,0.0
INTC,Intel,2024,0.0,0.0
INTC,Intel,2025,0.0,0.0
DIS,Walt Disney mpany (The),2020,0.0,0.0
DIS,Walt Disney mpany (The),2021,0.0,0.0
DIS,Walt Disney mpany (The),2022,0.0,0.0
DIS,Walt Disney mpany (The),2023,0.0,0.0
DIS,Walt Disney mpany (The),2024,0.0,0.0
DIS,Walt Disney mpany (The),2025,0.0,0.0
XOM,Exxon Mobil,2020,0.0,0.0
XOM,Exxon Mobil,2021,0.0,0.0
XOM,Exxon Mobil,2022,0.0,0.0
XOM,Exxon Mobil,2023,0.0,0.0
XOM,Exxon Mobil,2024,0.0,0.0
XOM,Exxon Mobil,2025,0.0,0.0
CMG,Chipotle Mexican Grill,2020,0.0,0.0
CMG,Chipotle Mexican Grill,2021,0.0,0.0
CMG,Chipotle Mexican Grill,2022,0.0,0.0
CMG,Chipotle Mexican Grill,2023,0.0,0.0
CMG,Chipotle Mexican Grill,2024,0.0,0.0
CMG,Chipotle Mexican Grill,2025,0.0,0.0
CLF,Cleveland-Cliffs,2020,0.0,0.0
CLF,Cleveland-Cliffs,2021,0.0,0.0
CLF,Cleveland-Cliffs,2022,0.0,0.0
CLF,Cleveland-Cliffs,2023,0.0,0.0
CLF,Cleveland-Cliffs,2024,0.0,0.0
CLF,Cleveland-Cliffs,2025,0.0,0.0
QCOM,QUALCOMM orporated,2020,0.0,0.0
QCOM,QUALCOMM orporated,2021,0.0,0.0
QCOM,QUALCOMM orporated,2022,0.0,0.0
QCOM,QUALCOMM orporated,2023,0.0,0.0
QCOM,QUALCOMM orporated,2024,0.0,0.0
QCOM,QUALCOMM orporated,2025,0.0,0.0
VZ,Verizon mmunications,2020,0.0,0.0
VZ,Verizon mmunications,2021,0.0,0.0
VZ,Verizon mmunications,2022,0.0,0.0
VZ,Verizon mmunications,2023,0.0,0.0
VZ,Verizon mmunications,2024,0.0,0.0
VZ,Verizon mmunications,2025,0.0,0.0
X,X,2020,0.0,0.0
X,X,2021,0.0,0.0
X,X,2022,0.0,0.0
X,X,2023,0.0,0.0
X,X,2024,0.0,0.0
X,X,2025,0.0,0.0
GOOGL,Alphabet,2020,0.0,0.0
GOOGL,Alphabet,2021,0.0,0.0
GOOGL,Alphabet,2022,0.0,0.0
GOOGL,Alphabet,2023,0.0,0.0
GOOGL,Alphabet,2024,0.0,0.0
GOOGL,Alphabet,2025,0.0,0.0
FDX,FedEx,2020,0.0,0.0
FDX,FedEx,2021,0.0,0.0
FDX,FedEx,2022,0.0,0.0
FDX,FedEx,2023,0.0,0.0
FDX,FedEx,2024,0.0,0.0
FDX,FedEx,2025,0.0,0.0
MDT,Medtronic,2020,0.0,0.0
MDT,Medtronic,2021,0.0,0.0
MDT,Medtronic,2022,0.0,0.0
MDT,Medtronic,2023,0.0,0.0
MDT,Medtronic,2024,0.0,0.0
MDT,Medtronic,2025,0.0,0.0
