정권,여당,D포트,R포트,SPY,여당포트,여당vsSPY,여당vs상대
오바마2기(D),D,,,65.76159331429825,,,
트럼프1기(R),R,141.95614515452738,14.505734103143306,82.55561900298983,14.505734103143306,-68.04988489984652,-127.45041105138407
바이든(D),D,167.22749241404398,-53.55236375529516,64.82221130894206,167.22749241404398,102.40528110510192,220.77985616933915
트럼프2기(R),R,16.6901719198368,21.27596204210218,26.58663493167115,21.27596204210218,-5.31067288956897,4.585790122265379
