party,member,chamber,ticker,type,transaction_date,filing_date,owner,amount,lag_days
R,John Boozman,Senate,SCHP,S,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,JMBS,S,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,CMBS,S,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,IEI,S,2026-05-13,2026-06-16,Joint,"$50,001 - $100,000",34
R,John Boozman,Senate,MBB,S,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,ECL,S,2026-05-15,2026-06-16,Joint,"$1,001 - $15,000",32
R,John Boozman,Senate,ACN,S,2026-05-15,2026-06-16,Joint,"$1,001 - $15,000",32
R,John Boozman,Senate,PLTR,P,2026-05-15,2026-06-16,Joint,"$1,001 - $15,000",32
R,John Boozman,Senate,GIGB,P,2026-05-13,2026-06-16,Joint,"$1,001 - $15,000",34
R,John Boozman,Senate,XFIV,P,2026-05-13,2026-06-16,Joint,"$50,001 - $100,000",34
R,John Boozman,Senate,ALB,P,2026-05-15,2026-06-16,Joint,"$1,001 - $15,000",32
D,Gary C Peters,Senate,KHC,P,2026-05-21,2026-06-11,Self,"$1,001 - $15,000",21
D,Sheldon Whitehouse,Senate,ORCL,S,2026-05-07,2026-06-02,Self,"$15,001 - $50,000",26
D,Sheldon Whitehouse,Senate,NVDA,S,2026-05-08,2026-06-02,Self,"$100,001 - $250,000",25
R,Bernie Moreno,Senate,ETOR,S,2026-05-06,2026-05-22,Self,"$100,001 - $250,000",16
R,John Boozman,Senate,SCHP,P,2025-09-16,2026-05-11,Joint,"$1,001 - $15,000",237
R,John Boozman,Senate,IEF,P,2025-09-16,2026-05-11,Joint,"$15,001 - $50,000",237
R,John Boozman,Senate,SHY,P,2025-09-16,2026-05-11,Joint,"$1,001 - $15,000",237
R,John Boozman,Senate,IEI,P,2025-09-16,2026-05-11,Joint,"$15,001 - $50,000",237
R,John Boozman,Senate,ETN,P,2025-09-12,2026-05-11,Joint,"$1,001 - $15,000",241
R,John Boozman,Senate,GOOGL,P,2025-09-17,2026-05-11,Joint,"$1,001 - $15,000",236
R,John Boozman,Senate,ADBE,P,2025-09-04,2026-05-11,Joint,"$1,001 - $15,000",249
D,Gary C Peters,Senate,CTVA,S,2026-04-23,2026-05-11,Self,"$15,001 - $50,000",18
D,Tina Smith,Senate,PODD,S,2026-05-07,2026-05-10,Spouse,"$100,001 - $250,000",3
D,Tina Smith,Senate,DXCM,S,2026-05-07,2026-05-10,Spouse,"$100,001 - $250,000",3
D,Tina Smith,Senate,PODD,S,2026-04-29,2026-05-10,Spouse,"$100,001 - $250,000",11
D,Tina Smith,Senate,DXCM,S,2026-04-29,2026-05-10,Spouse,"$100,001 - $250,000",11
R,John Boozman,Senate,TBLL,S,2026-04-02,2026-05-08,Joint,"$1,001 - $15,000",36
R,John Boozman,Senate,DVN,P,2026-04-09,2026-05-08,Joint,"$1,001 - $15,000",29
R,John Boozman,Senate,CEG,P,2026-04-02,2026-05-08,Joint,"$1,001 - $15,000",36
R,Shelley M Capito,Senate,CEG,S,2026-04-17,2026-05-07,Spouse,"$1,001 - $15,000",20
R,Shelley M Capito,Senate,AAPL,S,2026-04-17,2026-05-07,Spouse,"$1,001 - $15,000",20
R,Shelley M Capito,Senate,AVGO,S,2026-04-13,2026-05-07,Spouse,"$1,001 - $15,000",24
D,John W Hickenlooper,Senate,LBRDK,S,2025-05-19,2026-05-05,Spouse,"$500,001 - $1,000,000",351
D,John W Hickenlooper,Senate,PLTR,S,2025-06-03,2026-05-05,Child,"$1,001 - $15,000",336
D,John W Hickenlooper,Senate,PLTR,S,2025-04-16,2026-05-05,Child,"$1,001 - $15,000",384
D,Sheldon Whitehouse,Senate,JPM,S,2026-04-13,2026-05-04,Self,"$15,001 - $50,000",21
R,James Banks,Senate,SBUX,S,2026-04-15,2026-04-20,Self,"$1,001 - $15,000",5
R,John Boozman,Senate,TPYP,S,2026-03-20,2026-04-14,Joint,"$1,001 - $15,000",25
R,John Boozman,Senate,JNJ,S,2026-03-19,2026-04-14,Joint,"$1,001 - $15,000",26
R,John Boozman,Senate,BBEU,S,2026-03-19,2026-04-14,Joint,"$15,001 - $50,000",26
R,John Boozman,Senate,VEA,P,2026-03-19,2026-04-14,Joint,"$1,001 - $15,000",26
R,John Boozman,Senate,SPYM,P,2026-03-20,2026-04-14,Joint,"$1,001 - $15,000",25
R,John Boozman,Senate,NVDA,P,2026-03-19,2026-04-14,Joint,"$1,001 - $15,000",26
R,John Boozman,Senate,MSFT,P,2026-03-05,2026-04-14,Joint,"$1,001 - $15,000",40
R,John Boozman,Senate,FTGC,P,2026-03-19,2026-04-14,Joint,"$1,001 - $15,000",26
R,John Boozman,Senate,ARES,P,2026-03-13,2026-04-14,Joint,"$1,001 - $15,000",32
R,Shelley M Capito,Senate,MA,P,2026-03-28,2026-04-12,Spouse,"$1,001 - $15,000",15
D,Sheldon Whitehouse,Senate,PEP,S,2026-03-30,2026-04-08,Spouse,"$1,001 - $15,000",9
R,Shelley M Capito,Senate,PNC,P,2026-03-12,2026-04-04,Spouse,"$1,001 - $15,000",23
R,Shelley M Capito,Senate,FDS,S,2026-03-31,2026-04-04,Spouse,"$1,001 - $15,000",4
R,Shelley M Capito,Senate,FDS,S,2026-03-26,2026-04-04,Spouse,"$1,001 - $15,000",9
R,Shelley M Capito,Senate,FDS,S,2026-03-25,2026-04-04,Spouse,"$1,001 - $15,000",10
R,Shelley M Capito,Senate,AXP,P,2026-03-11,2026-04-04,Spouse,"$1,001 - $15,000",24
D,John Fetterman,Senate,T,S,2026-03-27,2026-04-03,Child,"$1,001 - $15,000",7
D,John Fetterman,Senate,MSFT,P,2026-03-27,2026-04-03,Child,"$1,001 - $15,000",7
D,John Fetterman,Senate,ERIE,P,2026-03-27,2026-04-03,Child,"$1,001 - $15,000",7
D,John Fetterman,Senate,MU,P,2026-03-30,2026-04-03,Child,"$1,001 - $15,000",4
D,John Fetterman,Senate,MSFT,P,2026-03-30,2026-04-03,Child,"$1,001 - $15,000",4
D,John Fetterman,Senate,ERIE,P,2026-03-30,2026-04-03,Child,"$1,001 - $15,000",4
D,John Fetterman,Senate,GOOG,P,2026-03-30,2026-04-03,Child,"$1,001 - $15,000",4
D,John Fetterman,Senate,AMZN,P,2026-03-30,2026-04-03,Child,"$1,001 - $15,000",4
D,Tina Smith,Senate,MMM,S,2026-03-31,2026-04-02,Spouse,"$50,001 - $100,000",2
D,Tina Smith,Senate,BRK.B,S,2026-03-31,2026-04-02,Spouse,"$100,001 - $250,000",2
?,"Angus S King, Jr.",Senate,UBER,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"Angus S King, Jr.",Senate,PYPL,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"Angus S King, Jr.",Senate,ONON,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"Angus S King, Jr.",Senate,NFLX,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"Angus S King, Jr.",Senate,MSFT,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"Angus S King, Jr.",Senate,META,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"Angus S King, Jr.",Senate,LLY,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"Angus S King, Jr.",Senate,BX,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"Angus S King, Jr.",Senate,ADSK,S,2026-02-13,2026-03-24,Spouse,"$1,001 - $15,000",39
?,"A. Mitchell McConnell, Jr.",Senate,WFC,P,2026-03-01,2026-03-19,Spouse,"$1,001 - $15,000",18
R,Markwayne Mullin,Senate,UNH,P,2026-02-25,2026-03-10,Joint,"$50,001 - $100,000",13
R,Markwayne Mullin,Senate,AZO,S,2026-02-25,2026-03-10,Joint,"$50,001 - $100,000",13
R,Markwayne Mullin,Senate,INTU,S,2026-02-25,2026-03-10,Joint,"$15,001 - $50,000",13
R,John Boozman,Senate,UNP,S,2026-02-19,2026-03-06,Joint,"$1,001 - $15,000",15
R,John Boozman,Senate,PG,S,2026-02-26,2026-03-06,Joint,"$1,001 - $15,000",8
R,John Boozman,Senate,JMBS,S,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,SHY,S,2026-02-06,2026-03-06,Joint,"$15,001 - $50,000",28
R,John Boozman,Senate,MBB,S,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,AGZ,S,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,DBLEX,S,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,AMAT,S,2026-02-27,2026-03-06,Joint,"$1,001 - $15,000",7
R,John Boozman,Senate,ADBE,S,2026-02-13,2026-03-06,Joint,"$1,001 - $15,000",21
R,John Boozman,Senate,UBER,P,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,NTAP,P,2026-02-27,2026-03-06,Joint,"$1,001 - $15,000",7
R,John Boozman,Senate,MSFT,P,2026-02-13,2026-03-06,Joint,"$1,001 - $15,000",21
R,John Boozman,Senate,KR,P,2026-02-26,2026-03-06,Joint,"$1,001 - $15,000",8
R,John Boozman,Senate,IEF,P,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,TLH,P,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,EMB,P,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,CMBS,P,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,GIGB,P,2026-02-06,2026-03-06,Joint,"$1,001 - $15,000",28
R,John Boozman,Senate,XTWO,P,2026-02-06,2026-03-06,Joint,"$15,001 - $50,000",28
D,Sheldon Whitehouse,Senate,HD,S,2026-02-23,2026-03-06,Self,"$1,001 - $15,000",11
D,Sheldon Whitehouse,Senate,PEP,S,2026-02-23,2026-03-06,Self,"$1,001 - $15,000",11
D,Sheldon Whitehouse,Senate,VZ,S,2026-02-23,2026-03-06,Spouse,"$1,001 - $15,000",11
D,Sheldon Whitehouse,Senate,MA,S,2026-02-23,2026-03-06,Spouse,"$1,001 - $15,000",11
D,John W Hickenlooper,Senate,SIRI,S,2026-02-05,2026-03-04,Spouse,"$50,001 - $100,000",27
R,Shelley M Capito,Senate,ITW,S,2026-02-24,2026-03-04,Spouse,"$1,001 - $15,000",8
R,Shelley M Capito,Senate,PAYX,S,2026-02-20,2026-03-04,Spouse,"$1,001 - $15,000",12
R,Shelley M Capito,Senate,BLK,S,2026-02-10,2026-03-04,Spouse,"$1,001 - $15,000",22
R,Shelley M Capito,Senate,ADI,S,2026-02-10,2026-03-04,Spouse,"$1,001 - $15,000",22
R,Shelley M Capito,Senate,AVGO,P,2026-02-09,2026-03-04,Spouse,"$1,001 - $15,000",23
R,Markwayne Mullin,Senate,VSEC,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,MTZ,S,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,MPWR,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,MCK,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,LRN,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,IRM,S,2026-02-04,2026-03-02,Joint,"$1,001 - $15,000",26
R,Markwayne Mullin,Senate,GS,S,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,FCFS,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,DELL,S,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,CRS,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,CRDO,S,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,COHR,S,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,C,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,APG,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,AMKR,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,AIT,S,2026-02-04,2026-03-02,Joint,"$1,001 - $15,000",26
R,Markwayne Mullin,Senate,ADBE,P,2026-02-04,2026-03-02,Joint,"$15,001 - $50,000",26
R,David H McCormick,Senate,GS,S,2026-01-23,2026-02-22,Spouse,"$1,000,001 - $5,000,000",30
R,John Boozman,Senate,UNP,S,2026-01-29,2026-02-15,Joint,"$1,001 - $15,000",17
R,John Boozman,Senate,MDY,S,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,OMC,S,2026-01-29,2026-02-15,Joint,"$1,001 - $15,000",17
R,John Boozman,Senate,OMC,S,2026-01-15,2026-02-15,Joint,"$1,001 - $15,000",31
R,John Boozman,Senate,MU,S,2026-01-26,2026-02-15,Joint,"$1,001 - $15,000",20
R,John Boozman,Senate,MU,S,2026-01-08,2026-02-15,Joint,"$1,001 - $15,000",38
R,John Boozman,Senate,LRCX,S,2026-01-08,2026-02-15,Joint,"$1,001 - $15,000",38
R,John Boozman,Senate,IVW,S,2026-01-29,2026-02-15,Joint,"$1,001 - $15,000",17
R,John Boozman,Senate,IWM,S,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,SLV,S,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,FISV,S,2026-01-29,2026-02-15,Joint,"$1,001 - $15,000",17
R,John Boozman,Senate,PPLT,S,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,PALL,S,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,V,P,2026-01-15,2026-02-15,Joint,"$1,001 - $15,000",31
R,John Boozman,Senate,VNQI,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,TPYP,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,LITP,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,PYPL,P,2026-01-29,2026-02-15,Joint,"$1,001 - $15,000",17
R,John Boozman,Senate,RNWGX,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,NFLX,P,2026-01-08,2026-02-15,Joint,"$1,001 - $15,000",38
R,John Boozman,Senate,JMBS,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,IVV,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,CMBS,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,MBB,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,TBLL,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,GIGB,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,GEM,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,FTGC,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,EIPI,P,2026-01-23,2026-02-15,Joint,"$1,001 - $15,000",23
R,John Boozman,Senate,XOM,P,2026-01-08,2026-02-15,Joint,"$1,001 - $15,000",38
R,John Boozman,Senate,ETN,P,2026-01-29,2026-02-15,Joint,"$1,001 - $15,000",17
R,John Boozman,Senate,DIS,P,2026-01-08,2026-02-15,Joint,"$1,001 - $15,000",38
R,John Boozman,Senate,DXCM,P,2026-01-26,2026-02-15,Joint,"$1,001 - $15,000",20
R,John Boozman,Senate,CVS,P,2026-01-29,2026-02-15,Joint,"$1,001 - $15,000",17
R,John Boozman,Senate,CAT,P,2026-01-29,2026-02-15,Joint,"$1,001 - $15,000",17
R,John Boozman,Senate,AAPL,P,2026-01-15,2026-02-15,Joint,"$1,001 - $15,000",31
D,John W Hickenlooper,Senate,LOW,S,2026-01-14,2026-02-06,Self,"$50,001 - $100,000",23
D,John W Hickenlooper,Senate,TJX,S,2026-01-14,2026-02-06,Self,"$50,001 - $100,000",23
D,John W Hickenlooper,Senate,ETN,P,2026-01-14,2026-02-06,Self,"$50,001 - $100,000",23
D,John W Hickenlooper,Senate,UBER,P,2026-01-14,2026-02-06,Self,"$100,001 - $250,000",23
R,Shelley M Capito,Senate,SBUX,S,2026-01-28,2026-02-05,Spouse,"$1,001 - $15,000",8
R,Markwayne Mullin,Senate,VSEC,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,MPWR,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,MCK,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,LRN,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,FCFS,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,CRS,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,C,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,APG,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,AMKR,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
R,Markwayne Mullin,Senate,ADBE,P,2026-01-05,2026-02-04,Spouse,"$15,001 - $50,000",30
D,Sheldon Whitehouse,Senate,SBUX,S,2026-01-09,2026-02-04,Self,"$1,001 - $15,000",26
D,Sheldon Whitehouse,Senate,NVDA,S,2026-01-09,2026-02-04,Self,"$1,001 - $15,000",26
D,Sheldon Whitehouse,Senate,HD,S,2026-01-09,2026-02-04,Self,"$1,001 - $15,000",26
D,Sheldon Whitehouse,Senate,MCD,S,2026-01-09,2026-02-04,Spouse,"$15,001 - $50,000",26
D,Tina Smith,Senate,BRK.B,S,2026-01-27,2026-01-30,Spouse,"$100,001 - $250,000",3
R,Katie Britt,Senate,JPM,S,2026-01-28,2026-01-29,Spouse,"$1,001 - $15,000",1
R,Katie Britt,Senate,XOM,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,JPM,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,GOOG,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,EOG,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,AAPL,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,AMZN,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,WMT,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,V,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,MSFT,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,UNH,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,NVDA,P,2025-04-14,2026-01-26,Spouse,"$1,001 - $15,000",287
R,Katie Britt,Senate,AMZN,P,2025-04-30,2026-01-26,Spouse,"$1,001 - $15,000",271
R,Katie Britt,Senate,AAPL,P,2025-04-30,2026-01-26,Spouse,"$1,001 - $15,000",271
R,Katie Britt,Senate,UNH,S,2025-04-30,2026-01-26,Spouse,"$1,001 - $15,000",271
R,Katie Britt,Senate,NVDA,P,2025-04-30,2026-01-26,Spouse,"$1,001 - $15,000",271
R,Katie Britt,Senate,XOM,S,2025-04-30,2026-01-26,Spouse,"$1,001 - $15,000",271
R,Katie Britt,Senate,NVDA,S,2025-11-07,2026-01-26,Spouse,"$1,001 - $15,000",80
R,Katie Britt,Senate,AAPL,S,2025-11-07,2026-01-26,Spouse,"$1,001 - $15,000",80
R,Katie Britt,Senate,GOOG,S,2025-11-07,2026-01-26,Spouse,"$1,001 - $15,000",80
R,Katie Britt,Senate,UPS,P,2025-11-07,2026-01-26,Spouse,"$1,001 - $15,000",80
R,Katie Britt,Senate,AMZN,S,2025-11-07,2026-01-26,Spouse,"$1,001 - $15,000",80
R,Katie Britt,Senate,V,P,2025-11-07,2026-01-26,Spouse,"$1,001 - $15,000",80
?,"Angus S King, Jr.",Senate,HON,P,2025-12-29,2026-01-26,Spouse,"$1,001 - $15,000",28
?,"Angus S King, Jr.",Senate,LLY,P,2025-12-29,2026-01-26,Spouse,"$1,001 - $15,000",28
?,"Angus S King, Jr.",Senate,CMCSA,S,2025-12-29,2026-01-26,Spouse,"$1,001 - $15,000",28
D,Gary C Peters,Senate,WPC,P,2026-01-12,2026-01-20,Self,"$15,001 - $50,000",8
D,Gary C Peters,Senate,SWK,P,2026-01-12,2026-01-20,Self,"$15,001 - $50,000",8
R,Markwayne Mullin,Senate,CAT,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,LLY,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,JPM,P,2025-12-29,2026-01-16,Joint,"$50,001 - $100,000",18
R,Markwayne Mullin,Senate,COF,P,2025-12-29,2026-01-16,Joint,"$50,001 - $100,000",18
R,Markwayne Mullin,Senate,RTX,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,GOOGL,P,2025-12-29,2026-01-16,Joint,"$100,001 - $250,000",18
R,Markwayne Mullin,Senate,ICE,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,DE,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,BSX,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,MSFT,P,2025-12-29,2026-01-16,Joint,"$100,001 - $250,000",18
R,Markwayne Mullin,Senate,GS,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,LRCX,P,2025-12-29,2026-01-16,Joint,"$50,001 - $100,000",18
R,Markwayne Mullin,Senate,KO,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,AMZN,P,2025-12-29,2026-01-16,Joint,"$100,001 - $250,000",18
R,Markwayne Mullin,Senate,NVDA,P,2025-12-29,2026-01-16,Joint,"$100,001 - $250,000",18
R,Markwayne Mullin,Senate,CRM,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,IQV,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,ELV,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,AXP,P,2025-12-29,2026-01-16,Joint,"$1,001 - $15,000",18
R,Markwayne Mullin,Senate,CVX,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,AAPL,P,2025-12-29,2026-01-16,Joint,"$100,001 - $250,000",18
R,Markwayne Mullin,Senate,META,P,2025-12-29,2026-01-16,Joint,"$50,001 - $100,000",18
R,Markwayne Mullin,Senate,MA,P,2025-12-29,2026-01-16,Joint,"$50,001 - $100,000",18
R,Markwayne Mullin,Senate,HLT,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,AMAT,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,COST,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,ISRG,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,HD,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,INTU,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,NOW,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Markwayne Mullin,Senate,COP,P,2025-12-29,2026-01-16,Joint,"$15,001 - $50,000",18
R,Thomas H Tuberville,Senate,XLU,P,2025-12-17,2026-01-15,Self,"$15,001 - $50,000",29
R,Thomas H Tuberville,Senate,XLP,P,2025-12-17,2026-01-15,Self,"$15,001 - $50,000",29
R,Thomas H Tuberville,Senate,XLV,P,2025-12-17,2026-01-15,Self,"$15,001 - $50,000",29
R,Thomas H Tuberville,Senate,AAPL,S,2025-12-17,2026-01-15,Self,"$50,001 - $100,000",29
R,Thomas H Tuberville,Senate,GOOGL,S,2025-12-17,2026-01-15,Self,"$1,001 - $15,000",29
R,Markwayne Mullin,Senate,PRMB,S,2025-12-18,2026-01-13,Self,"$1,001 - $15,000",26
R,Markwayne Mullin,Senate,MTZ,S,2025-12-18,2026-01-13,Self,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,LRN,S,2025-12-18,2026-01-13,Self,"$1,001 - $15,000",26
R,Markwayne Mullin,Senate,IRM,S,2025-12-18,2026-01-13,Self,"$1,001 - $15,000",26
R,Markwayne Mullin,Senate,GS,S,2025-12-18,2026-01-13,Self,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,DELL,S,2025-12-18,2026-01-13,Self,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,CRDO,S,2025-12-18,2026-01-13,Self,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,COHR,S,2025-12-18,2026-01-13,Self,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,AIT,S,2025-12-18,2026-01-13,Self,"$15,001 - $50,000",26
R,Markwayne Mullin,Senate,PRMB,S,2025-12-17,2026-01-13,Joint,"$1,001 - $15,000",27
?,"A. Mitchell McConnell, Jr.",Senate,LAZR,S,2025-12-24,2026-01-13,Spouse,"$1,001 - $15,000",20
R,John Boozman,Senate,SMCI,S,2025-12-31,2026-01-13,Joint,"$1,001 - $15,000",13
R,John Boozman,Senate,KRE,S,2025-12-26,2026-01-13,Joint,"$1,001 - $15,000",18
R,John Boozman,Senate,MSI,S,2025-12-17,2026-01-13,Joint,"$1,001 - $15,000",27
R,John Boozman,Senate,SLV,S,2025-12-24,2026-01-13,Joint,"$1,001 - $15,000",20
R,John Boozman,Senate,TBLL,S,2025-12-11,2026-01-13,Joint,"$1,001 - $15,000",33
R,John Boozman,Senate,BSX,S,2025-12-17,2026-01-13,Joint,"$1,001 - $15,000",27
R,John Boozman,Senate,PPLT,S,2025-12-24,2026-01-13,Joint,"$1,001 - $15,000",20
R,John Boozman,Senate,PALL,S,2025-12-24,2026-01-13,Joint,"$1,001 - $15,000",20
R,John Boozman,Senate,WFC,P,2025-12-17,2026-01-13,Joint,"$1,001 - $15,000",27
