ticker,pct,valUSD,name
NVDA,10.332224720276765,24682134.4,NVIDIA Corp
GOOG,6.084960188761579,14536056.78,Alphabet Inc
MSFT,5.9629161017074495,14244511.77,Microsoft Corp
AMZN,4.866797092102001,11626047.94,Amazon.com Inc
AAPL,4.201874769605897,10037648.29,Apple Inc
AMAT,3.661918279010265,8747773.26,Applied Materials Inc
NFLX,3.508950838934942,8382357.0,Netflix Inc
PM,3.2155770575378515,7681531.06,Philip Morris International In
AXP,2.9274913772433306,6993337.6,American Express Co
AORT,2.8931770577719726,6911365.84,Artivion Inc
COST,2.8918723923142537,6908249.19,Costco Wholesale Corp
CRM,2.5007849638099224,5974000.01,Salesforce Inc
LLY,2.442606705020903,5835020.88,Eli Lilly &amp; Co
META,2.306865771858428,5510756.16,Meta Platforms Inc
VMC,2.1952930625096476,5244225.7,Vulcan Materials Co
CRWD,2.107431223006092,5034336.95,Crowdstrike Holdings Inc
DHI,1.6618506478889818,3969911.82,DR Horton Inc
JNJ,1.6195039360596468,3868751.88,Johnson &amp; Johnson
SSNC,1.5245360537202102,3641887.86,SS&amp;C Technologies Holdings Inc
APG,1.316719810535699,3145446.04,API Group Corp
DIS,1.2545518453019135,2996936.1,Walt Disney Co/The
AVGO,1.1313566729685025,2702641.32,Broadcom Inc
MU,1.031685899998183,2464542.8,Micron Technology Inc
FGXXX,0.9322851607329029,2227089.35,First American Government Obli
ABT,0.9303629554391806,2222497.49,Abbott Laboratories
PWR,0.921602551676595,2201570.2,Quanta Services Inc
IBM,0.8787062615844391,2099097.4,IBM
KO,0.855640120390606,2043995.85,Coca-Cola Co/The
ANET,0.7309184017725598,1746054.38,Arista Networks Inc
AMD,0.711496198130155,1699657.65,Advanced Micro Devices Inc
CVS,0.6770565087077495,1617386.4,CVS Health Corp
TCMD,0.6694469306853298,1599208.26,Tactile Systems Technology Inc
RTX,0.664896766265473,1588338.6,RTX Corp
LRCX,0.662396550617457,1582365.96,Lam Research Corp
NOC,0.6508675719477215,1554824.96,Northrop Grumman Corp
STX,0.6353175286475279,1517678.24,Seagate Technology Holdings PL
VST,0.6279141753828097,1499992.74,Vistra Corp
MS,0.6258737416498259,1495118.45,Morgan Stanley
VSNT,0.6226073456027892,1487315.52,Versant Media Group Inc
URI,0.5736741087102785,1370421.36,United Rentals Inc
PANW,0.5161567913951293,1233021.12,Palo Alto Networks Inc
AB,0.5040533605686492,1204107.84,AllianceBernstein Holding LP
PLTR,0.4764043069791656,1138058.4,Palantir Technologies Inc
TEM,0.4691893372510274,1120822.92,Tempus AI Inc
NOW,0.4680755502542879,1118162.25,ServiceNow Inc
ARMK,0.4650937765222407,1111039.24,Aramark
ACN,0.4394362502869606,1049747.26,Accenture PLC
WFC,0.43090077902895413,1029357.3,Wells Fargo &amp; Co
GLW,0.4275725415085184,1021406.64,Corning Inc
WMT,0.40428654138119946,965779.88,Walmart Inc
KKR,0.39573435915305766,945350.0,KKR &amp; Co Inc
HCA,0.37184063562885505,888271.48,HCA Healthcare Inc
CSCO,0.34649732753994134,827730.12,Cisco Systems Inc
VRT,0.34216965511975644,817391.96,Vertiv Holdings Co
C,0.33564632364504815,801808.7,Citigroup Inc
PGR,0.32090507957828085,766594.08,Progressive Corp/The
ELAN,0.3156574289026699,754058.23,Elanco Animal Health Inc
COF,0.30585100296913387,730632.15,Capital One Financial Corp
HD,0.3019259426946583,721255.77,Home Depot Inc/The
ABBV,0.3019012739203578,721196.84,AbbVie Inc
MAR,0.2895757655195675,691753.05,Marriott International Inc/MD
DELL,0.2891865070799533,690823.17,Dell Technologies Inc
PINS,0.285151557106825,681184.28,Pinterest Inc
HOOD,0.28220709421566353,674150.4,Robinhood Markets Inc
AMGN,0.27454566697578486,655848.4,Amgen Inc
BALL,0.25976381759581313,620536.78,Ball Corp
IDXX,0.2596758170912581,620326.56,IDEXX Laboratories Inc
OSK,0.25727934592542206,614601.75,Oshkosh Corp
SBUX,0.2568608014269236,613601.91,Starbucks Corp
PG,0.24596853499880808,587581.92,Procter &amp; Gamble Co/The
CVLT,0.2389993990462623,570933.7,Commvault Systems Inc
V,0.23798625043454838,568513.44,Visa Inc
BK,0.23151435793805214,553053.06,Bank of New York Mellon Corp/T
JPM,0.22953063350176747,548314.24,JPMorgan Chase &amp; Co
ST,0.22861265202308345,546121.32,Sensata Technologies Holding P
BAC,0.2261742108706302,540296.25,Bank of America Corp
TMUS,0.22604480969106558,539987.13,T-Mobile US Inc
TJX,0.2190748323294524,523336.9,TJX Cos Inc/The
MO,0.21405970358448634,511356.51,Altria Group Inc
SCHW,0.21354352633136225,510123.44,Charles Schwab Corp/The
CAT,0.21115747440517224,504423.52,Caterpillar Inc
FWONK,0.19329117845635266,461743.62,Liberty Media Corp-Liberty For
BLK,0.19283718175192335,460659.09,Blackrock Inc
F,0.1917045321220601,457953.36,Ford Motor Co
MRK,0.19079424053619637,455778.81,Merck &amp; Co Inc
ALL,0.18357122090936837,438524.1,Allstate Corp/The
SYY,0.17649983910372785,421631.63,Sysco Corp
MDT,0.1608330827378173,384206.1,Medtronic PLC
MCHP,0.15941199724241517,380811.34,Microchip Technology Inc
CL,0.15848281372062442,378591.66,Colgate-Palmolive Co
AMCR,0.15358541108114795,366892.5,Amcor PLC
PEP,0.15321955720917568,366018.53,PepsiCo Inc
MA,0.15101598221163476,360754.52,Mastercard Inc
MHK,0.1447935151771978,345889.98,Mohawk Industries Inc
DPZ,0.1447866415767564,345873.56,Domino's Pizza Inc
MRSH,0.13672116635380469,326606.35,Marsh &amp; McLennan Cos Inc
VRTX,0.13440034665397194,321062.26,Vertex Pharmaceuticals Inc
MCD,0.13114106281591817,313276.32,McDonald's Corp
CI,0.13031260140144832,311297.25,Cigna Group/The
