ticker,pct,valUSD,name
AFL,0.094,210709.08,Aflac Inc
PNC,0.093,209722.5,PNC Financial Services Group I
LIN,0.093,209254.28,Linde PLC
QSR,0.091,206029.32,Restaurant Brands Internationa
ADP,0.091,205394.4,Automatic Data Processing Inc
UNP,0.091,205691.52,Union Pacific Corp
KLAC,0.091,205124.46,KLA Corp
MODG,0.091,205178.4,Topgolf Callaway Brands Corp
MMM,0.09,202783.68,3M Co
AME,0.089,201408.48,AMETEK Inc
CTAS,0.088,197908.56,Cintas Corp
GD,0.087,195995.52,General Dynamics Corp
PRU,0.085,192210.16,Prudential Financial Inc
APD,0.084,190108.44,Air Products and Chemicals Inc
MSI,0.083,187945.62,Motorola Solutions Inc
MDLZ,0.08,180199.68,Mondelez International Inc
EMR,0.079,177595.56,Emerson Electric Co
HPE,0.079,177853.65,Hewlett Packard Enterprise Co
PPG,0.079,177222.5,PPG Industries Inc
D,0.078,175946.76,Dominion Energy Inc
HPQ,0.073,164004.3,HP Inc
CHX,0.072,161037.72,ChampionX Corp
CPRT,0.068,153098.4,Copart Inc
ODFL,0.064,144122.4,Old Dominion Freight Line Inc
ROST,0.063,142762.02,Ross Stores Inc
