period,종목수,상위10비중,상위1
2024-12-31,167,49.4,NVDA
2025-03-31,160,46.6,NVDA
2025-06-30,158,47.4,NVDA
2025-09-30,150,47.0,NVDA
2025-12-31,104,48.3,NVDA
2026-03-31,99,47.7,NVDA
